Expiry,Strike,Last Price,Bid,Ask,Volume,Open Interest,Time_to_Maturity,Option_Price,Log_Return,Volatility
2024-06-21,97.5,79.8,78.15,79.75,1.0,397,0.0136892539356605,79.8,0.05050215510577942,5.3066379540540085
2024-06-21,98.0,76.1,77.65,79.25,1.0,486,0.0136892539356605,76.1,-0.04747523958812301,5.043409141774137
2024-06-21,99.0,77.44,76.65,78.25,1.0,155,0.0136892539356605,77.44,0.017455178100681448,5.04253795724149
2024-06-21,100.0,76.7,75.65,78.05,12.0,1612,0.0136892539356605,76.7,-0.009601734595111064,4.800460081410886
2024-06-21,102.5,73.67,73.15,74.75,5.0,659,0.0136892539356605,73.67,-0.0403060476784883,4.719981967121387
2024-06-21,105.0,71.55,71.6,72.25,6.0,2621,0.0136892539356605,71.55,-0.029199154692262353,4.714991288134192
2024-06-21,107.5,69.2,68.15,69.75,2.0,730,0.0136892539356605,69.2,-0.033395643378835896,4.469371324113898
2024-06-21,110.0,66.6,65.65,67.25,1.0,3344,0.0136892539356605,66.6,-0.038296285077280556,4.3174438730817855
2024-06-21,112.5,64.1,63.15,64.75,1.0,947,0.0136892539356605,64.1,-0.03826021361971908,4.184788230948522
2024-06-21,115.0,61.74,60.65,62.25,5.0,1907,0.0136892539356605,61.74,-0.037512344852611054,4.185401694388313
2024-06-21,117.5,60.0,58.15,59.75,4.0,5534,0.0136892539356605,60.0,-0.02858745685191262,3.9954661049785574
2024-06-21,120.0,56.69,55.65,57.25,130.0,7520,0.0136892539356605,56.69,-0.05674673388588839,3.9444703470033713
2024-06-21,122.5,51.8,53.15,54.75,1.0,3209,0.0136892539356605,51.8,-0.09020767907077493,3.4517126518305608
2024-06-21,125.0,51.24,50.65,52.25,97.0,5451,0.0136892539356605,51.24,-0.010869672236903768,2.5457302145702556
2024-06-21,127.5,49.4,49.15,49.75,1.0,2732,0.0136892539356605,49.4,-0.03657005283465672,1.5203224906667383
2024-06-21,130.0,46.34,46.65,47.3,91.0,6513,0.0136892539356605,46.34,-0.06394490518964654,1.500842209598726
2024-06-21,132.5,43.0,44.15,45.75,4.0,2727,0.0136892539356605,43.0,-0.07480540331066785,1.5073027770781677
2024-06-21,135.0,41.7,41.65,43.25,195.0,4162,0.0136892539356605,41.7,-0.030698986888806623,1.5047909090415563
2024-06-21,137.5,39.03,38.2,40.75,1.0,7977,0.0136892539356605,39.03,-0.06617054761223226,1.4848417727111058
2024-06-21,140.0,36.9,36.65,37.3,137.0,11367,0.0136892539356605,36.9,-0.056119030146042116,1.0909963276412031
2024-06-21,142.5,34.25,34.15,34.8,4.0,4797,0.0136892539356605,34.25,-0.07452498633824721,0.5063568542298572
2024-06-21,145.0,32.0,31.65,32.3,55.0,5967,0.0136892539356605,32.0,-0.06795066190850778,0.4012094706382987
2024-06-21,147.5,29.0,28.2,29.8,2.0,9305,0.0136892539356605,29.0,-0.09844007281325252,0.4441012001828165
2024-06-21,150.0,26.75,25.7,27.3,95.0,8267,0.0136892539356605,26.75,-0.08076135664445847,0.39506405055546856
2024-06-21,152.5,24.21,23.2,24.8,43.0,4833,0.0136892539356605,24.21,-0.09976870239204834,0.40054974298718987
2024-06-21,155.0,21.78,21.3,22.3,80.0,9476,0.0136892539356605,21.78,-0.1057736534451527,0.43333218874507334
2024-06-21,157.5,18.87,18.25,19.8,5.0,9211,0.0136892539356605,18.87,-0.14341875812435553,0.5112230660674083
2024-06-21,160.0,16.8,15.75,17.35,156.0,14337,0.0136892539356605,16.8,-0.11619447297124562,0.5299720466377882
2024-06-21,162.5,13.98,13.4,14.85,10.0,4425,0.0136892539356605,13.98,-0.183751149603549,0.6542464813820793
2024-06-21,165.0,12.01,10.1,12.4,78.0,6840,0.0136892539356605,12.01,-0.151888100713772,0.6925828107754481
2024-06-21,167.5,9.36,9.45,9.75,29.0,955,0.0136892539356605,9.36,-0.2492943456023915,0.8902153853990142
2024-06-21,170.0,7.02,6.8,7.45,599.0,25556,0.0136892539356605,7.02,-0.2876820724517809,1.0946059476781662
2024-06-21,172.5,4.95,4.9,5.1,165.0,2647,0.0136892539356605,4.95,-0.34937564145712074,1.3750548632706867
2024-06-21,175.0,3.04,3.0,3.1,3075.0,15134,0.0136892539356605,3.04,-0.48753006116246866,1.8777264786665344
2024-06-21,177.5,1.65,1.61,1.65,7420.0,5997,0.0136892539356605,1.65,-0.6110822275056411,2.4435668576727503
2024-06-21,180.0,0.74,0.74,0.75,22131.0,18566,0.0136892539356605,0.74,-0.8018803806964109,3.24798517491785
2024-06-21,182.5,0.29,0.23,0.3,1915.0,5360,0.0136892539356605,0.29,-0.9367692632176957,4.086271530284379
2024-06-21,185.0,0.11,0.1,0.12,4396.0,13962,0.0136892539356605,0.11,-0.9694005571881034,4.747708580637313
2024-06-21,187.5,0.05,0.05,0.07,186.0,2229,0.0136892539356605,0.05,-0.78845736036427,4.958843446176165
2024-06-21,190.0,0.04,0.03,0.05,382.0,9092,0.0136892539356605,0.04,-0.22314355131420985,4.8867742198470605
2024-06-21,192.5,0.02,0.02,0.04,39.0,535,0.0136892539356605,0.02,-0.6931471805599453,4.938557490167978
2024-06-21,195.0,0.03,0.02,0.03,57.0,6097,0.0136892539356605,0.03,0.4054651081081644,5.5302952954698545
2024-06-21,197.5,0.01,0.01,0.03,14.0,277,0.0136892539356605,0.01,-1.0986122886681096,6.032317570475597
2024-06-21,200.0,0.02,0.01,0.03,120.0,10046,0.0136892539356605,0.02,0.6931471805599453,7.043513969198687
2024-06-21,205.0,0.02,0.01,0.03,10.0,2317,0.0136892539356605,0.02,0.0,7.087344960915527
2024-06-21,210.0,0.02,0.0,0.03,107.0,4920,0.0136892539356605,0.02,0.0,7.138690174045948
2024-06-21,215.0,0.02,0.0,0.02,54.0,2528,0.0136892539356605,0.02,0.0,7.1912622481482575
2024-06-21,220.0,0.02,0.0,0.02,23.0,3700,0.0136892539356605,0.02,0.0,7.255774125798838
2024-06-21,225.0,0.01,0.0,0.01,7.0,13428,0.0136892539356605,0.01,-0.6931471805599453,7.320372608119575
2024-06-21,230.0,0.01,0.0,0.01,6.0,1173,0.0136892539356605,0.01,0.0,7.401332868850809
2024-06-21,235.0,0.01,0.0,0.07,60.0,1956,0.0136892539356605,0.01,0.0,7.469626368441739
2024-06-21,240.0,0.02,0.0,0.07,1.0,1632,0.0136892539356605,0.02,0.6931471805599453,8.279635815627856
2024-06-21,245.0,0.02,0.0,0.01,1.0,268,0.0136892539356605,0.02,0.0,8.34161191221828
2024-06-21,250.0,0.02,0.0,0.02,7.0,513,0.0136892539356605,0.02,0.0,8.39216255543507
2024-06-21,255.0,0.01,0.0,0.01,89.0,1709,0.0136892539356605,0.01,-0.6931471805599453,8.49129005442328
2024-06-21,260.0,0.01,0.0,0.01,15.0,1774,0.0136892539356605,0.01,0.0,8.44778858421095
