Expiry,Strike,Last Price,Bid,Ask,Volume,Open Interest,Time_to_Maturity,Option_Price
2024-06-21,1200.0,1173.55,0.0,0.0,1.0,18,0.013689253935660506,1173.55
2024-06-21,1250.0,1133.68,0.0,0.0,,1,0.013689253935660506,1133.68
2024-06-21,1280.0,1092.16,0.0,0.0,,0,0.013689253935660506,1092.16
2024-06-21,1300.0,1085.3,0.0,0.0,,0,0.013689253935660506,1085.3
2024-06-21,1350.0,1048.6,0.0,0.0,2.0,0,0.013689253935660506,1048.6
2024-06-21,1400.0,911.46,996.0,1015.0,2.0,0,0.013689253935660506,911.46
2024-06-21,1450.0,956.94,0.0,0.0,2.0,0,0.013689253935660506,956.94
2024-06-21,1500.0,979.01,0.0,0.0,1.0,1,0.013689253935660506,979.01
2024-06-21,1550.0,907.23,0.0,0.0,4.0,0,0.013689253935660506,907.23
2024-06-21,1600.0,866.21,0.0,0.0,,0,0.013689253935660506,866.21
2024-06-21,1650.0,739.24,811.5,830.5,2.0,0,0.013689253935660506,739.24
2024-06-21,1660.0,750.45,0.0,0.0,,1,0.013689253935660506,750.45
2024-06-21,1700.0,793.28,0.0,0.0,1.0,2,0.013689253935660506,793.28
2024-06-21,1750.0,699.19,743.0,762.0,2.0,1,0.013689253935660506,699.19
2024-06-21,1800.0,729.5,0.0,0.0,,3,0.013689253935660506,729.5
2024-06-21,1850.0,764.45,0.0,0.0,,1,0.013689253935660506,764.45
2024-06-21,1860.0,610.36,0.0,0.0,,1,0.013689253935660506,610.36
2024-06-21,1900.0,649.81,0.0,0.0,8.0,13,0.013689253935660506,649.81
2024-06-21,1920.0,720.75,0.0,0.0,,3,0.013689253935660506,720.75
2024-06-21,1950.0,619.36,0.0,0.0,8.0,9,0.013689253935660506,619.36
2024-06-21,1980.0,592.02,0.0,0.0,,1,0.013689253935660506,592.02
2024-06-21,2000.0,595.0,0.0,0.0,6.0,11,0.013689253935660506,595.0
2024-06-21,2050.0,555.74,0.0,0.0,1.0,1,0.013689253935660506,555.74
2024-06-21,2100.0,560.0,0.0,0.0,2.0,6,0.013689253935660506,560.0
2024-06-21,2150.0,568.41,0.0,0.0,1.0,3,0.013689253935660506,568.41
2024-06-21,2200.0,493.55,0.0,0.0,1.0,5,0.013689253935660506,493.55
2024-06-21,2250.0,470.0,0.0,0.0,1.0,7,0.013689253935660506,470.0
2024-06-21,2300.0,445.5,0.0,0.0,5.0,12,0.013689253935660506,445.5
2024-06-21,2350.0,390.0,0.0,0.0,1.0,12,0.013689253935660506,390.0
2024-06-21,2400.0,396.0,0.0,0.0,3.0,7,0.013689253935660506,396.0
2024-06-21,2450.0,439.72,0.0,0.0,2.0,4,0.013689253935660506,439.72
2024-06-21,2500.0,356.41,0.0,0.0,1.0,6,0.013689253935660506,356.41
2024-06-21,2600.0,293.6,0.0,0.0,3.0,5,0.013689253935660506,293.6
2024-06-21,2650.0,302.0,0.0,0.0,1.0,2,0.013689253935660506,302.0
2024-06-21,2700.0,286.64,0.0,0.0,,32,0.013689253935660506,286.64
2024-06-21,2800.0,250.0,0.0,0.0,1.0,4,0.013689253935660506,250.0
2024-06-21,2950.0,226.22,0.0,0.0,,6,0.013689253935660506,226.22
2024-06-21,3000.0,193.0,0.0,0.0,4.0,14,0.013689253935660506,193.0
2024-06-21,3050.0,178.68,0.0,0.0,1.0,2,0.013689253935660506,178.68
2024-06-21,3100.0,174.0,0.0,0.0,1.0,41,0.013689253935660506,174.0
2024-06-21,3150.0,164.0,0.0,0.0,1.0,6,0.013689253935660506,164.0
2024-06-21,3200.0,152.18,0.0,0.0,2.0,4,0.013689253935660506,152.18
2024-06-21,3250.0,200.0,0.0,0.0,1.0,4,0.013689253935660506,200.0
2024-06-21,3300.0,111.34,0.0,0.0,1.0,6,0.013689253935660506,111.34
2024-06-21,3400.0,121.4,0.0,0.0,2.0,34,0.013689253935660506,121.4
2024-06-21,3500.0,105.5,0.0,0.0,5.0,41,0.013689253935660506,105.5
2024-06-28,75.0,100.5,101.6,102.4,,1,0.03285420944558522,100.5
2024-06-28,80.0,95.25,96.6,97.4,1.0,1,0.03285420944558522,95.25
2024-06-28,90.0,84.54,86.65,87.45,,1,0.03285420944558522,84.54
2024-06-28,95.0,81.59,81.65,82.45,1.0,1,0.03285420944558522,81.59
2024-06-28,100.0,76.76,76.65,77.45,5.0,6,0.03285420944558522,76.76
2024-06-28,105.0,71.82,71.65,72.45,,2,0.03285420944558522,71.82
2024-06-28,110.0,67.0,66.7,67.45,1.0,6,0.03285420944558522,67.0
2024-06-28,115.0,61.97,61.7,62.5,2.0,53,0.03285420944558522,61.97
2024-06-28,120.0,56.55,56.7,57.5,10.0,51,0.03285420944558522,56.55
2024-06-28,125.0,49.95,51.7,52.4,1.0,27,0.03285420944558522,49.95
2024-06-28,130.0,46.5,46.7,47.5,1.0,3,0.03285420944558522,46.5
